trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
88,0,88,0,163.38616530003492,164.38602890004404,164.38602890004404,down,1,0.6910050000296906,3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
89,0,89,0,165.10064199997578,166.09900559997186,166.11534679995384,down,1,0.756823799922131,1,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
90,0,90,0,166.88082920003217,167.87935709999874,167.89598180004396,up,0,0.8113013999536633,-3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
91,0,91,0,168.71113329997752,169.70977329998277,169.70977329998277,down,1,0.5622463999316096,2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
92,0,92,0,170.2922090999782,171.29080079996493,171.30747300002258,up,1,0.5218508000252768,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
93,0,93,0,171.83979470003396,172.8384729999816,172.85521680000238,up,1,0.6958607999840751,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
94,0,94,0,173.55378590000328,174.55238420004025,174.56892989994958,up,1,0.4892993000103161,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
95,0,95,0,175.06816989998333,176.06650159996934,176.08333249995485,up,1,0.5249616999644786,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
96,0,96,0,176.61572949995752,177.61429000005592,177.63111149996985,up,1,0.40514140005689114,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
97,0,97,0,178.04671210004017,179.04719750001095,179.06360100000165,up,1,0.4166239999467507,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
98,0,98,0,179.49530640000012,180.49345489998814,180.50957939994987,down,1,0.5838037999346852,3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
99,0,99,0,181.1088970999699,182.10722350003198,182.12367979995906,up,1,0.6127464000601321,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
